AREA_GEOGRAFICA;NUCLEO_FAMILIARE;OCCUPAZIONE;TIPO_DI_SPESA;SPESA_TOTALE
SUD;3;Indipendente;Trasporti;266.87
SUD;3;Dipendente;Trasporti;266.52
SUD;3;Non occupato;Trasporti;213.58
SUD;3;In cerca di occupazione;Trasporti;218.69
SUD;3;Inattivo;Trasporti;213.14
SUD;4;Occupato;Trasporti;281.38
SUD;4;Indipendente;Trasporti;281.63
SUD;4;Dipendente;Trasporti;281.29
SUD;4;Non occupato;Trasporti;228.34
SUD;4;In cerca di occupazione;Trasporti;233.45
SUD;4;Inattivo;Trasporti;227.91
SUD;5 e più;Occupato;Trasporti;275.06
SUD;5 e più;Indipendente;Trasporti;275.32
SUD;5 e più;Dipendente;Trasporti;274.97
SUD;5 e più;Non occupato;Trasporti;222.03
SUD;5 e più;In cerca di occupazione;Trasporti;227.14
SUD;5 e più;Inattivo;Trasporti;221.59
SUD;1;Occupato;Ricreazione, sport e cultura;57.95
SUD;1;Indipendente;Ricreazione, sport e cultura;58.21
SUD;1;Dipendente;Ricreazione, sport e cultura;57.86
SUD;1;Non occupato;Ricreazione, sport e cultura;41.06
SUD;1;In cerca di occupazione;Ricreazione, sport e cultura;42.59
SUD;1;Inattivo;Ricreazione, sport e cultura;40.92
SUD;2;Occupato;Ricreazione, sport e cultura;63.89
SUD;2;Indipendente;Ricreazione, sport e cultura;64.16
SUD;2;Dipendente;Ricreazione, sport e cultura;63.80
SUD;2;Non occupato;Ricreazione, sport e cultura;47.00
SUD;2;In cerca di occupazione;Ricreazione, sport e cultura;48.54
SUD;2;Inattivo;Ricreazione, sport e cultura;46.87
SUD;3;Occupato;Ricreazione, sport e cultura;71.50
SUD;3;Indipendente;Ricreazione, sport e cultura;71.76
SUD;3;Dipendente;Ricreazione, sport e cultura;71.41
SUD;3;Non occupato;Ricreazione, sport e cultura;54.61
SUD;3;In cerca di occupazione;Ricreazione, sport e cultura;56.14
SUD;3;Inattivo;Ricreazione, sport e cultura;54.47
SUD;4;Occupato;Ricreazione, sport e cultura;83.60
SUD;4;Indipendente;Ricreazione, sport e cultura;83.86
SUD;4;Dipendente;Ricreazione, sport e cultura;83.51
SUD;4;Non occupato;Ricreazione, sport e cultura;66.71
SUD;4;In cerca di occupazione;Ricreazione, sport e cultura;68.24
SUD;4;Inattivo;Ricreazione, sport e cultura;66.57
SUD;5 e più;Occupato;Ricreazione, sport e cultura;82.47
SUD;5 e più;Indipendente;Ricreazione, sport e cultura;82.74
SUD;5 e più;Dipendente;Ricreazione, sport e cultura;82.38
SUD;5 e più;Non occupato;Ricreazione, sport e cultura;65.58
SUD;5 e più;In cerca di occupazione;Ricreazione, sport e cultura;67.12
SUD;5 e più;Inattivo;Ricreazione, sport e cultura;65.45
SUD;1;Occupato;Istruzione;8.46
SUD;1;Indipendente;Istruzione;7.94
SUD;1;Dipendente;Istruzione;8.64
SUD;1;Non occupato;Istruzione;4.71
SUD;1;In cerca di occupazione;Istruzione;5.33
SUD;1;Inattivo;Istruzione;4.66
SUD;2;Occupato;Istruzione;8.92
SUD;2;Indipendente;Istruzione;8.41
SUD;2;Dipendente;Istruzione;9.11
SUD;2;Non occupato;Istruzione;5.17
SUD;2;In cerca di occupazione;Istruzione;5.79
SUD;2;Inattivo;Istruzione;5.12
SUD;3;Occupato;Istruzione;11.55
SUD;3;Indipendente;Istruzione;11.03
SUD;3;Dipendente;Istruzione;11.73
SUD;3;Non occupato;Istruzione;7.80
SUD;3;In cerca di occupazione;Istruzione;8.41
SUD;3;Inattivo;Istruzione;7.75
SUD;4;Occupato;Istruzione;16.25
SUD;4;Indipendente;Istruzione;15.73
SUD;4;Dipendente;Istruzione;16.43
SUD;4;Non occupato;Istruzione;12.50
SUD;4;In cerca di occupazione;Istruzione;13.12
SUD;4;Inattivo;Istruzione;12.45
SUD;5 e più;Occupato;Istruzione;15.45
SUD;5 e più;Indipendente;Istruzione;14.93
SUD;5 e più;Dipendente;Istruzione;15.63
SUD;5 e più;Non occupato;Istruzione;11.70
SUD;5 e più;In cerca di occupazione;Istruzione;12.32
SUD;5 e più;Inattivo;Istruzione;11.65
